MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
Capital District Physicians' Health Plan Farmers Market,http://www.cdphp.com,500 Patroon Creek Blvd,Albany,Albany,New York,12206,Private business parking lot,Y,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,6/17/13 11:42
Delaware Area Neighborhood Farmers Market,,"St. James Church, 391 Delaware Ave,",Albany,Albany,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Downtown Albany Farmers Market,,"Tricentennial Park, at Broadway",Albany,Albany,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Empire State Plaza Farmers Market,http://www.ogs.ny.gov,Empire State Plaza,Albany,Albany,New York,12242,Federal/State government building grounds,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,6/1/12 11:12
Harriman State Campus Farmers Market,http://www.empirestateplaza.org,"Harriman State Office Campus, Vendor Park, 1220 Washington Ave,",Albany,Albany,New York,,Federal/State government building grounds,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,5/31/12 13:39
Sage College Farmers Market,http://www.ccealbany.com,"Sage College, New Scotland Rd, Albany",Albany,Albany County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Watervliet Farmers Market,,Hudson Shores Park,Albany,Albany County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Whitehall Road Farmers Market,http://www.ccealbany.com,"Jewish Community Center, Whitehall Road, Albany",Albany,Albany County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Orleans County Farmers' Market,,320 West Avenue(Rt.31),Albion,Orleans,New York,14411,Private business parking lot,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,6/12/13 9:45
Alexandria Bay Farmers Market,,Route 12,Alexandria Bay,Jefferson,New York,13607,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
alfred farmers market,http://www.alfredfarmersmarket.com/,Viliage bandstand on Main,alfred,Allegany,New York,14802,Educational institution,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,6/25/13 10:51
Altamont Farmer's Market,,Main Street & Maple Avenue,Altamont,Albany,New York,12009,Private business parking lot,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,5/4/11 15:59
