MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
Shacktown Farmers Market,http://www.ShacktownNC.com,2816 Shacktown Road,Yadkinville,Yadkin,North Carolina,27055,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wrightsville Beach Farmers' Market,http://www.townofwrightsvillebeach.com,321 Causeway Drive,Wrightsville Beach,New Hanover,North Carolina,28480,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N
Cobblestone Farmer's Market,,E. Third Street and Patterson,Winston-Salem,Forsyth,North Carolina,27101,Private business parking lot,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N
Winston Salem Retail Farmers Market,,Dixie Classic Fairgrounds,Winston-Salem,Forsyth,North Carolina,27109,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Downtown City Market,http://www.dsfair.com,6th & Cherry Streets,Winston Salem,Forsyth,North Carolina,27109,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Deans Farm Market,http://www.deansfarmmarket.com/,4231 NC Hwy 42 West,Wilson,,North Carolina,27893,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Wilson Farmers' Market,http://www.wilson.ces.ncsu.edu/content/wilsonfarmersmarket,207 W Green Street,Wilson,Wilson,North Carolina,27893,Other,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N
Wilson Farmers' Market,http://www.wilson.ces.ncsu.edu/content/wilsonfarmersmarket,2331 US Hwy 301 S,Wilson,Wilson,North Carolina,27893,Other,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N
Farmers' Market at Poplar Grove,http://www.poplargrove.com,10200 US Hwy 17,Wilmington,Pender,North Carolina,28411,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y
Riverfront Farmers Market,http://www.wilmingtondowntown.com/farmers-market,1S. Water Street,Wilmington,New Hanover,North Carolina,28401,Closed-off public street,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y
Martin County Farmers Market,,Hwy 64 beside Highway Patrol Station,Williamston,Martin,North Carolina,27892,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
"Columbus County Community Farmers Market, Inc.",http://www.columbuscountyfarmersmarket.com/,132 Government Complex Road,Whiteville,Columbus,North Carolina,28472,Local government building grounds,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Ashe County Farmers Market,http://www.ashefarmersmarket.com,108 Backstreet,West Jefferson,Ashe,North Carolina,28694,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N
