State & Town,Funding Amount ($),# of Farmers Markets
"Fullerton, ND",392,0
"Walker, MN",398,2
"Delaware, OH",1975,1
"Portsmouth, RI",2000,0
"Wheeling, WV",2000,2
"Middletown, RI",2500,2
"Montgomery, WV",2530,0
"Sturgis, SD",2700,1
"Ada, OK",2821,1
"McGraws, WV",3000,0
"West Poland, ME",3500000,1
"Sacramento, CA",3648719,15
"O'Neill, NE",3967262,0
"New Haven, CT",4073627,7
"Madison, WI",4126641,18
"Brattleboro, VT",4270700,3
"St. Cloud, WI",4500000,0
"Monroe, LA",5000000,1
"Fair Oaks, IN",5500000,0
"Hermiston, OR",6900000,1
"Dallas, OR",10199264,1
